x,y,label
4.8776507,6.3464227,1
4.468686,4.2797523,1
9.930975,6.626122,1
3.9136899,9.164828,1
4.366882,7.350824,1
7.2404594,3.317858,1
6.887279,8.37745,1
4.2846212,5.5548944,1
4.337677,3.4827633,1
3.3389306,4.235746,1
1.7039404,1.5806493,1
7.2514424,2.886422,1
7.6704774,3.3479536,1
4.653786,1.2190335,1
9.181846,4.4266796,1
6.5571485,7.396839,1
9.649643,7.724855,1
0.55462503,7.2847238,1
1.1599135,5.948526,1
11.178882,5.005642,1
4.220864,6.0115504,1
3.6271873,7.924591,1
0.68672436,3.4629266,1
3.0132275,7.105731,1
9.135267,3.5367944,1
-0.2598909,5.7225904,1
2.519425,4.0220547,1
2.5298347,7.5311246,1
1.6823863,5.534121,1
4.2663584,5.252972,1
2.8010192,8.486011,1
9.748751,7.3182592,1
8.519411,3.7765615,1
5.968647,4.3117156,1
2.4348087,6.903333,1
6.579402,5.8062925,1
1.3751185,6.0999227,1
5.9553485,4.2089543,1
7.5258975,3.2531266,1
3.2196698,5.5212703,1
2.468374,0.4744493,1
6.5495715,0.23954317,1
4.134947,0.20612277,1
0.7898831,5.034834,1
4.1100283,4.1291738,1
1.3776389,4.3879004,1
-0.5440596,4.826032,1
8.11866,2.5422926,1
11.162523,5.265813,1
4.2148376,3.2574675,1
3.5199146,7.0045543,1
9.496031,2.5720558,1
7.512784,2.0863283,1
7.3207927,1.640907,1
0.404292,5.9658294,1
6.47897,0.93703413,1
7.720494,3.8670535,1
2.2367153,6.9699125,1
3.1237683,6.4520636,1
6.239568,5.395818,1
-0.20464827,5.9581,1
1.9203516,1.5829513,1
5.320004,7.293401,1
4.3459077,2.9671912,1
8.738484,5.30144,1
1.4537301,4.5540757,1
7.7342143,6.988064,1
3.5452518,0.35367942,1
10.103771,3.098781,1
3.2115822,7.5634365,1
-0.39835468,4.5076804,1
2.0223215,8.375621,1
6.9973803,4.530924,1
1.681454,8.237309,1
2.9973397,2.729742,1
6.8560634,5.7578325,1
9.828102,3.1896365,1
4.14239,3.5309122,1
0.038423304,3.1805549,1
-0.17179896,5.231097,1
8.544745,6.339583,1
7.722772,1.194429,1
3.8874617,3.0323827,1
3.4186196,0.57872915,1
0.22375904,5.9001255,1
1.9998574,7.92761,1
-0.7582731,3.6715295,1
1.3344187,4.5038123,1
0.9661979,6.797871,1
8.420183,4.9038815,1
3.6069777,0.581064,1
2.5098002,0.5415734,1
3.9270568,7.7775054,1
0.4635914,2.369007,1
4.950147,2.3513134,1
1.6185875,8.220298,1
3.9546137,0.9546295,1
7.529644,1.284351,1
7.4717827,3.308981,1
4.3597493,2.5230432,1
4.8136797,3.6914988,1
6.4738884,2.4122682,1
10.087917,6.1782913,1
4.890887,7.090152,1
5.214656,3.0751064,1
4.6954184,-0.054152105,1
2.8255818,2.5840366,1
4.2717957,0.28124082,1
4.7573895,0.6591791,1
5.7871847,1.2062151,1
5.2454762,3.9930089,1
3.6413593,1.8869169,1
1.7945989,2.455974,1
4.0030465,5.383661,1
6.536982,2.576594,1
4.628007,6.1106114,1
5.0181,1.2408106,1
2.2967644,4.512196,1
8.675253,3.7790284,1
9.073475,5.878587,1
-0.008764294,2.5394056,1
-0.56193376,3.9836907,1
3.7099679,5.4685225,1
10.499461,4.0646105,1
10.582907,6.2292867,1
3.5352764,8.14487,1
0.9479396,6.8116207,1
0.909388,2.5542676,1
7.391472,8.081708,1
5.7262015,4.8072515,1
9.928088,7.147126,1
3.3044915,2.9376318,1
5.5167003,8.947138,1
4.5998244,0.0020066975,1
8.220689,6.0663753,1
7.285496,0.53920865,1
2.0171213,3.0314748,1
8.339662,4.7339206,1
5.804807,3.2428174,1
3.9491715,4.7537193,1
6.2594104,0.7627562,1
4.4812503,6.95274,1
9.499901,2.9068718,1
1.2120564,1.0813607,1
1.5147518,7.8713536,1
8.135105,3.3687143,1
9.427539,6.1250124,1
7.8330193,7.2678204,1
3.559843,4.892263,1
6.929206,2.2746994,1
10.063785,6.953392,1
1.7394139,8.422515,1
8.675496,4.962613,1
3.5141704,5.9357376,1
1.6879156,4.879299,1
3.6023655,7.7203054,1
2.0500083,3.4659553,1
6.8321505,4.7021537,1
7.401145,3.1227076,1
6.0788207,1.4843831,1
-0.02632581,5.692635,1
10.51439,4.736527,1
3.4087114,4.491032,1
1.8838058,7.945128,1
0.24084057,4.7727323,1
10.545493,4.8132854,1
11.294511,5.223687,1
5.185476,8.610135,1
3.9124842,7.0895867,1
7.3235555,2.300303,1
9.9289255,4.8853827,1
5.5263605,6.971601,1
6.9214926,7.3437324,1
0.6818654,3.5865853,1
4.0144467,2.9849944,1
5.283869,8.1151085,1
